yourlist:M2022030892C7BAECDB1C5C413EE0E0348724B682456919U	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
J9PBT4	J9PBT4	J9PBT4_9THEO	unreviewed	ABC transporter		Caldanaerobius	442
Q01693	Q01693	AMPX_VIBPR	reviewed	Bacterial leucyl aminopeptidase (EC 3.4.11.10)		Vibrio proteolyticus (Aeromonas proteolytica)	504
P20236	P20236	GBRA3_RAT	reviewed	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3)	Gabra3 Gabra-3	Rattus norvegicus (Rat)	493
C3TPN7	C3TPN7	C3TPN7_ECOLX	unreviewed	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map map_1 map_2 map_3 A5U30_000305 A6592_03000 A8499_001873 A9819_00780 A9X72_20420 AAG43_001514 ABE90_007040 ACN68_08325 ACN81_28550 ACU57_18580 AM464_17635 APX88_24815 AT335_002550 AT845_002207 AW119_13900 AWP93_20225 B6R12_000947 B6R15_000229 B6R31_002469 B6R48_000726 B6R87_000727 BANRA_00641 BANRA_01126 BANRA_03338 BF481_003690 BFL24_00925 BG944_001873 BHS81_00635 BIZ41_19090 BJI68_15635 BJJ90_21365 BK292_13665 BK383_20245 BMC79_000034 BMT49_02170 BMT50_04015 BMT91_01370 BN17_45901 BO068_002858 BOH76_17730 BON63_15460 BON64_03370 BON65_09420 BON66_02965 BON67_10005 BON68_18950 BON69_16380 BON70_27140 BON71_14895 BON72_09365 BON73_05305 BON74_02565 BON75_17135 BON76_15455 BON77_21915 BON78_08285 BON79_15665 BON80_16305 BON84_04015 BON86_04400 BON87_26705 BON88_11775 BON89_11015 BON90_22325 BON91_06970 BON92_02740 BON93_03950 BON94_19490 BON95_13045 BON96_17225 BON97_21765 BON98_18195 BR158_000501 BSR05_12105 BTQ06_06475 BvCmsF30A_01239 BvCmsHHP019_00045 BvCmsHHP056_04095 BvCmsKKP036_03789 BvCmsKKP061_01636 BvCmsKSNP073_05553 BvCmsNSP072_03671 BVL39_02200 BXT93_00695 BZL69_20215 C2121_002935 C5N07_08565 C5Y87_12560 C9114_07030 C9160_13590 C9E67_25220 CA593_02880 CCS08_22600 CCV12_002001 CDC27_24680 CDL36_07895 CDL37_07235 CG692_09510 CG831_000821 CIG67_16565 CO706_23040 CQP61_22095 CR538_20655 CR539_04925 CT143_22130 CV83915_01408 CWS33_09605 CXJ73_002502 D0X26_09430 D3822_17345 D3G36_16670 D3Y67_16395 D4U49_05960 D9D77_16615 D9E34_01110 D9E49_02150 D9H94_14030 D9J61_11505 DAH17_03050 DAH18_22150 DAH19_12925 DAH20_13805 DAH21_22170 DAH22_03660 DAH23_11210 DAH24_11280 DAH25_12725 DAH26_11225 DAH29_14675 DAH30_10625 DAH31_15595 DAH33_22305 DAH34_04200 DAH35_21530 DAH36_21105 DAH37_16345 DAH38_20920 DAH40_22020 DAH42_01555 DAH43_04015 DAH45_06235 DAH46_02640 DAH47_00185 DAH48_03765 DAH49_04020 DAH50_07070 DD762_01080 DEN87_21055 DEN88_16960 DEN89_20270 DEN90_18610 DEN91_15470 DEN92_14660 DEN93_18325 DEN94_16090 DEN95_12150 DEN96_06175 DEN97_04440 DEN98_04445 DEN99_03100 DEO00_05175 DEO01_06000 DEO02_09550 DEO03_16480 DEO04_22075 DEO05_21945 DEO06_22590 DEO07_22415 DEO08_20650 DEO09_21800 DEO10_22060 DEO11_21955 DEO12_12220 DEO13_08655 DEO14_11255 DEO15_08435 DEO17_19920 DEO18_03395 DEO19_04225 DEO20_19705 DKP82_14310 DM870_18080 DN627_10255 DNQ45_10125 DNX30_02280 DRW19_04940 DS732_05760 DTL43_05935 DTL90_09725 DTM16_08860 DTM45_12620 DU321_03645 DXT69_01485 DXT70_16915 DXT71_01895 E0I42_18975 E2112_01245 E2113_05855 E2114_18155 E2115_17370 E2116_17395 E2117_05530 E2118_15285 E2119_15575 E2120_18205 E2121_14000 E2122_04450 E2123_14995 E2124_16680 E2125_17985 E2127_15005 E2128_01345 E2129_02865 E2130_17670 E2131_12055 E2132_15210 E2134_11970 E2135_11630 E2136_14000 E2646_16165 E3N34_09350 E3O05_11470 E4K51_05795 E4T14_02330 E4T84_08905 E5M02_17355 E5P22_04085 E5P23_04705 E5P24_16210 E5P25_12855 E5P26_03520 E5P27_14170 E5P28_13970 E5P29_07795 E5P30_07275 E5P31_13570 E5P32_01555 E5P33_01145 E5P34_12025 E5P35_01100 E5P36_00510 E5P37_21185 E5P39_14395 E5P40_07035 E5P41_07125 E5P42_02530 E5P43_09455 E5P44_10460 E5P45_09085 E5P46_08145 E5P47_11220 E5P48_06185 E5P49_11755 E5P50_17585 E5P51_06945 E5P52_06845 E5S34_18375 E5S35_00175 E5S36_11120 E5S37_18770 E5S38_07595 E5S39_17340 E5S42_18250 E5S43_01805 E5S44_09480 E5S45_04870 E5S46_19530 E5S47_12315 E5S48_12860 E5S51_08275 E5S52_09540 E5S53_16340 E5S54_18320 E5S55_16330 E5S56_11565 E5S57_07270 E5S58_05610 E5S59_11250 E5S61_20150 E5S62_13860 EA239_13425 EA435_20385 EAI46_03650 EAN77_17430 EAX79_05565 EBP16_09110 EC1094V2_3685 EC3234A_2c01490 EC95NR1_04352 ECs0170 EHD79_10740 EHH55_16990 EI021_19840 EIA08_06320 EIZ93_07930 EL79_3706 EL80_3653 ELT16_21250 ELT17_01245 ELT20_04465 ELT21_15040 ELT22_08870 ELT23_12180 ELT24_18810 ELT25_21050 ELT26_05585 ELT28_17115 ELT30_18435 ELT31_08690 ELT32_04780 ELT33_15875 ELT34_19885 ELT35_06815 ELT36_14040 ELT38_13455 ELT39_20865 ELT40_02135 ELT41_01970 ELT44_21610 ELT45_20710 ELT46_21860 ELT48_12175 ELT49_18470 ELT50_04925 ELT51_07350 ELT52_04140 ELT54_13415 ELT55_19310 ELT56_04945 ELT58_11810 ELT59_17850 ELT60_20945 ELT61_17410 ELT63_15895 ELT72_19815 ELU07_13010 ELU82_16780 ELU83_06365 ELU85_21275 ELU88_20110 ELU89_12525 ELU91_18205 ELU94_15805 ELU95_07265 ELU96_20270 ELU97_22280 ELU98_09205 ELV00_10920 ELV01_05860 ELV02_21125 ELV03_21790 ELV04_21590 ELV05_06480 ELV07_04590 ELV08_10285 ELV10_05880 ELV11_07300 ELV12_07940 ELV13_13140 ELV16_14900 ELV20_03210 ELV22_16450 ELV23_20000 ELV24_19205 ELV29_15945 ELV40_17630 ELX48_04055 ELX56_19470 ELX68_15970 ELX69_11250 ELX70_19400 ELX76_14545 ELX79_12495 ELX83_20610 ELX85_10450 ELY02_13675 ELY05_11465 ELY23_06770 ELY24_11285 ELY31_21220 ELY39_01320 ELY50_16145 EQO00_21090 ERS085406_00567 ERS139208_01226 EVY14_15610 EWK56_14880 ExPECSC038_03991 EXX13_05310 EYV17_16440 EYV18_21740 EYX47_12825 EYY21_27850 F0L67_09150 F2N31_00170 F3N40_16015 F7F11_02080 F9S76_22060 F9S83_02280 F9V24_09495 FDM60_08825 FE587_16365 FEJ01_15055 FFF58_06190 FGG80_07190 FHD44_14145 FJQ51_00175 FKO60_12345 FOI11_012845 FOI11_22835 FPI65_00920 FQ007_15805 FQF29_01535 FV293_02900 FVB16_04530 FWK02_17915 FY127_02950 G3565_18160 G3813_000516 G4A38_19335 G5632_13940 G9448_10120 GAJ26_21375 GF147_13285 GF699_14265 GFY34_15720 GIB53_10115 GKF86_01185 GKF89_14785 GKG12_02125 GLW94_14805 GNO40_01335 GNZ05_09830 GP650_06510 GP662_15460 GP711_09525 GP946_16425 GP979_07870 GQA06_13080 GQE64_01400 GQF59_21010 GQM04_19835 GQM09_07085 GQW07_00975 GQW68_00175 GQW80_13510 GRC73_19585 GRO95_02770 GRW05_07690 GRW57_10415 GRW81_09805 GTP88_05410 GUB08_19155 GUB92_12150 GUC01_17875 GUI33_00170 HHH44_003664 HI055_000777 HIE29_003102 HIN64_000551 HJQ60_000693 HJU54_003403 HKA49_001653 HL601_07695 HLV18_20620 HLZ50_06965 HmCms169_00359 HMJ82_00175 HMU06_10060 HMU48_04760 HMV41_18165 HMV95_04590 HMW38_10580 HNC36_16155 HNC59_20340 HNC66_11690 HNC99_17420 HND12_10350 HV209_01535 HVV39_17625 HVW04_10230 HVW19_14970 HVW43_11760 HVX16_21160 HVX31_16120 HVY77_20970 HVZ30_16750 HVZ71_20405 HX136_20605 I6H00_14090 I6H01_17690 I6H02_18645 IAI11_05645 IFB95_000544 IH768_15380 IH772_14430 IT029_001943 J0541_003916 J4S20_003228 J5U05_003013 JE86ST02C_01620 JE86ST05C_01650 JFD_01252 JNP96_05030 NCTC10082_01385 NCTC10089_04078 NCTC10090_02162 NCTC10418_06080 NCTC10958_04263 NCTC10974_04618 NCTC11112_03431 NCTC11126_03632 NCTC11181_01364 NCTC11341_03643 NCTC12950_04426 NCTC13127_05457 NCTC13216_02712 NCTC4450_07401 NCTC7927_04509 NCTC7928_04611 NCTC8008_03675 NCTC8009_07324 NCTC8179_01375 NCTC8333_04764 NCTC8500_04548 NCTC8621_04204 NCTC8959_04841 NCTC8960_01564 NCTC8985_03116 NCTC9001_05427 NCTC9036_04026 NCTC9037_04191 NCTC9044_03182 NCTC9073_03396 NCTC9111_04267 NCTC9117_05055 NCTC9702_04762 NCTC9775_02330 NCTC9777_00474 ND22_002550 PGD_03808 RG28_03915 SAMEA3472044_04159 SAMEA3472056_00975 SAMEA3472067_01411 SAMEA3472080_03750 SAMEA3751407_04816 SAMEA3752557_00872 TUM18780_36040 WP2S18E08_37760 WP4S18E07_36960 WR15_02325	Escherichia coli	264
Q15303	Q15303	ERBB4_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	ERBB4 HER4	Homo sapiens (Human)	1308
O97193	O97193	O97193_LEIMA	unreviewed	Fructose-bisphosphatase (EC 3.1.3.11)	FBP LMJF_04_1160	Leishmania major	351
Q10QA5	Q10QA5	D14_ORYSJ	reviewed	Strigolactone esterase D14 (EC 3.1.-.-) (Protein DWARF 14) (Protein DWARF 88) (Protein HIGH-TILLERING DWARF 2)	D14 D88 HTD2 Os03g0203200 LOC_Os03g10620	Oryza sativa subsp. japonica (Rice)	318
Q14781	Q14781	CBX2_HUMAN	reviewed	Chromobox protein homolog 2	CBX2	Homo sapiens (Human)	532
P05050	P05050	ALKB_ECOLI	reviewed	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	alkB aidD b2212 JW2200	Escherichia coli (strain K12)	216
Q00684	Q00684	CDC14_YEAST	reviewed	Tyrosine-protein phosphatase CDC14 (EC 3.1.3.48)	CDC14 OAF3 YFR028C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
Q8KNP3	Q8KNP3	TUBZ_BACTI	reviewed	Tubulin-like protein TubZ (EC 3.6.5.-) (FtsZ-like protein TubZ-Bt)	tubZ ATN07_33550 pBt156	Bacillus thuringiensis subsp. israelensis	484
Q4DA73	Q4DA73	Q4DA73_TRYCC	unreviewed	Spermidine synthase, putative (EC 2.5.1.16)	Tc00.1047053510339.50	Trypanosoma cruzi (strain CL Brener)	296
D0VWV5	D0VWV5	D0VWV5_PLAKN	unreviewed	Myosin A Tail Interacting Protein		Plasmodium knowlesi	126
P96945	P96945	P96945_NEIME	unreviewed	Glycosyl transferase	lgtC	Neisseria meningitidis	311
O53512	O53512	AROG_MYCTU	reviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase AroG (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG Rv2178c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	462
Q6ZMT4	Q6ZMT4	KDM7A_HUMAN	reviewed	Lysine-specific demethylase 7A (JmjC domain-containing histone demethylation protein 1D) (Lysine-specific demethylase 7) ([histone H3]-dimethyl-L-lysine9 demethylase 7A) (EC 1.14.11.65)	KDM7A JHDM1D KDM7 KIAA1718	Homo sapiens (Human)	941
A7YYL1	A7YYL1	A7YYL1_XENTR	unreviewed	Avd protein	avd	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	148
V5YAB1	V5YAB1	V5YAB1_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	109
P02638	P02638	S100B_BOVIN	reviewed	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)	S100B	Bos taurus (Bovine)	92
P02751	P02751	FINC_HUMAN	reviewed	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	Homo sapiens (Human)	2477
Q93IC2	Q93IC2	Q93IC2_STAAU	unreviewed	Penicillin-binding protein 2'	mecA	Staphylococcus aureus	668
P87671	P87671	VGP_EBOEC	reviewed	Envelope glycoprotein (GP1,2) (GP) [Cleaved into: GP1; GP2; Shed GP (GP1,2-delta)]	GP	Zaire ebolavirus (strain Eckron-76) (ZEBOV) (Zaire Ebola virus)	676
P47075	P47075	VTC4_YEAST	reviewed	Vacuolar transporter chaperone 4 (Phosphate metabolism protein 3)	VTC4 PHM3 YJL012C J1345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	721
Q4VSJ8	Q4VSJ8	Q4VSJ8_BURGB	unreviewed	Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein)	tofI bglu_2g14490	Burkholderia glumae (strain BGR1)	203
O15570	O15570	O15570_ENTHI	unreviewed	Cysteine synthase		Entamoeba histolytica	337
Q03406	Q03406	SLD5_YEAST	reviewed	DNA replication complex GINS protein SLD5	SLD5 YDR489W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294
A0A0L7KHE6	A0A0L7KHE6	A0A0L7KHE6_PLAFX	unreviewed	CYTOSOL_AP domain-containing protein	PFHG_04072	Plasmodium falciparum (isolate HB3)	607
P48736	P48736	PK3CG_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	PIK3CG	Homo sapiens (Human)	1102
H2VFG5	H2VFG5	H2VFG5_NEIMI	unreviewed	N-acetylneuraminate synthase (EC 2.5.1.56) (SynC protein)	synC	Neisseria meningitidis serogroup B	349
Q68FD5	Q68FD5	CLH1_MOUSE	reviewed	Clathrin heavy chain 1	Cltc	Mus musculus (Mouse)	1675
P38998	P38998	LYS1_YEAST	reviewed	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	LYS1 YIR034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	373
P27540	P27540	ARNT_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)	ARNT BHLHE2	Homo sapiens (Human)	789
A5U9I4	A5U9I4	A5U9I4_MYCTA	unreviewed	TetR-family transcriptional regulatory repressor protein	ethR MRA_3895	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	216
P04295	P04295	TRM3_HHV11	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 UL15	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	735
P58154	P58154	ACHP_LYMST	reviewed	Acetylcholine-binding protein (ACh-binding protein) (AchBP)		Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	229
F1P582	F1P582	F1P582_CHICK	unreviewed	Uncharacterized protein	UQCRC2	Gallus gallus (Chicken)	457
Q16832	Q16832	DDR2_HUMAN	reviewed	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	DDR2 NTRKR3 TKT TYRO10	Homo sapiens (Human)	855
Q9UGL1	Q9UGL1	KDM5B_HUMAN	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.67) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B)	KDM5B JARID1B PLU1 RBBP2H1	Homo sapiens (Human)	1544
P0DOY2	P0DOY2	IGLC2_HUMAN	reviewed	Immunoglobulin lambda constant 2 (Ig lambda chain C region Kern) (Ig lambda chain C region NIG-64) (Ig lambda chain C region SH) (Ig lambda chain C region X) (Ig lambda-2 chain C region)	IGLC2	Homo sapiens (Human)	106
Q53793	Q53793	Q53793_9ACTN	unreviewed	Bleomycin resistance protein	ble	Streptomyces verticillus	122
Q96GG9	Q96GG9	DCNL1_HUMAN	reviewed	DCN1-like protein 1 (DCNL1) (DCUN1 domain-containing protein 1) (Defective in cullin neddylation protein 1-like protein 1) (Squamous cell carcinoma-related oncogene)	DCUN1D1 DCN1 DCUN1L1 RP42 SCCRO	Homo sapiens (Human)	259
P17763	P17763	POLG_DEN1W	reviewed	Genome polyprotein [Cleaved into: Capsid protein C (Capsid protein) (Core protein); Protein prM (Precursor membrane protein); Peptide pr (Peptide precursor); Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1)	3392
Q91Y44	Q91Y44	BRDT_MOUSE	reviewed	Bromodomain testis-specific protein (Bromodomain-containing female sterile homeotic-like protein) (RING3-like protein)	Brdt Fsrg3	Mus musculus (Mouse)	956
P12530	P12530	LOX15_RABIT	reviewed	Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (L-12LO) (EC 1.13.11.31) (Arachidonate 15-lipoxygenase) (15-LOX) (EC 1.13.11.33) (Arachidonate omega-6 lipoxygenase) (Erythroid cell-specific 15-lipoxygenase) (Hepoxilin A3 synthase Alox15) (EC 1.13.11.-) (Linoleate 13S-lipoxygenase) (EC 1.13.11.12)	ALOX15	Oryctolagus cuniculus (Rabbit)	663
O28751	O28751	Y1521_ARCFU	reviewed	ADP-ribose glycohydrolase AF_1521 ([Protein ADP-ribosylaspartate] hydrolase AF_1521) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase AF_1521) (EC 3.2.2.-)	AF_1521	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	192
Q99497	Q99497	PARK7_HUMAN	reviewed	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124)	PARK7	Homo sapiens (Human)	189
P50135	P50135	HNMT_HUMAN	reviewed	Histamine N-methyltransferase (HMT) (EC 2.1.1.8)	HNMT	Homo sapiens (Human)	292
P41180	P41180	CASR_HUMAN	reviewed	Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)	CASR GPRC2A PCAR1	Homo sapiens (Human)	1078
P25788	P25788	PSA3_HUMAN	reviewed	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)	PSMA3 HC8 PSC8	Homo sapiens (Human)	255
A5U8U8	A5U8U8	A5U8U8_MYCTA	unreviewed	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	hpt MRA_3660	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	216
U3KRF8	U3KRF8	SGSL_TRIAN	reviewed	Seed lectin (SGSL) [Cleaved into: Seed lectin Aalpha chain; Seed lectin Abeta chain; Seed lectin B chain] (Fragments)		Trichosanthes anguina (Snake gourd)	519
Q02293	Q02293	FNTB_RAT	reviewed	Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	Fntb	Rattus norvegicus (Rat)	437
Q5SID9	Q5SID9	Q5SID9_THET8	unreviewed	Purine nucleoside phosphorylase	TTHA1435	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	235
P56470	P56470	LEG4_HUMAN	reviewed	Galectin-4 (Gal-4) (Antigen NY-CO-27) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)	LGALS4	Homo sapiens (Human)	323
C4LSS0	C4LSS0	C4LSS0_ENTHI	unreviewed	Arginase (EC 3.5.3.1)	EHI_152330	Entamoeba histolytica	296
Q80Z29	Q80Z29	NAMPT_RAT	reviewed	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1 homolog) (PBEF) (Visfatin)	Nampt Pbef1	Rattus norvegicus (Rat)	491
Q9PTT3	Q9PTT3	Q9PTT3_SPAAU	unreviewed	Transthyretin		Sparus aurata (Gilthead sea bream)	151
Q9D8V0	Q9D8V0	HM13_MOUSE	reviewed	Minor histocompatibility antigen H13 (EC 3.4.23.-) (Presenilin-like protein 3) (Signal peptide peptidase)	Hm13 H13 Psl3	Mus musculus (Mouse)	378
A4HVX3	A4HVX3	A4HVX3_LEIIN	unreviewed	Proteasome subunit alpha type	LINJ_14_0310	Leishmania infantum	285
O75533	O75533	SF3B1_HUMAN	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
Q9KWU6	Q9KWU6	RPOC_THEAQ	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC	Thermus aquaticus	1524
P14618	P14618	KPYM_HUMAN	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	531
O67648	O67648	LPXC_AQUAE	reviewed	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC envA aq_1772	Aquifex aeolicus (strain VF5)	282
P03362	P03362	POL_HTL1A	reviewed	Gag-Pro-Pol polyprotein (Pr160Gag-Pro-Pol) [Cleaved into: Matrix protein p19 (MA); Capsid protein p24 (CA); Nucleocapsid protein p15-pro (NC') (NC-pro); Protease (PR) (EC 3.4.23.-); p1; Reverse transcriptase/ribonuclease H, p49 subunit (p49 RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Reverse transcriptase/ribonuclease H, p62 subunit (p62 RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pro-pol	Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1)	1462
P23639	P23639	PSA2_YEAST	reviewed	Proteasome subunit alpha type-2 (Macropain subunit Y7) (Multicatalytic endopeptidase complex subunit Y7) (Proteasome component Y7) (Proteinase YSCE subunit 7)	PRE8 PRS4 YML092C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250
Q9X0V0	Q9X0V0	Q9X0V0_THEMA	unreviewed	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein	TM_1223	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	557
Q9XI47	Q9XI47	SHH1_ARATH	reviewed	Protein SAWADEE HOMEODOMAIN HOMOLOG 1 (DNA-binding transcription factor 1)	SHH1 DTF1 At1g15215 F9L1.16	Arabidopsis thaliana (Mouse-ear cress)	258
P41743	P41743	KPCI_HUMAN	reviewed	Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota)	PRKCI DXS1179E	Homo sapiens (Human)	596
P00763	P00763	TRY2_RAT	reviewed	Anionic trypsin-2 (EC 3.4.21.4) (Anionic trypsin II) (Pretrypsinogen II) (Serine protease 2)	Prss2 Try2	Rattus norvegicus (Rat)	246
Q7BJM5	Q7BJM5	Q7BJM5_PSEPU	unreviewed	Class B carbapenemase VIM-2 (Metallo-beta-lactamase) (Metallo-beta-lactamase VIM-2) (VIM-2) (EC 3.5.2.6) (VIM-2 b-lactamase) (VIM-2 beta-lactamase)	VIM-2 bla(VIM-2) blaVIM-2 LD209_03	Pseudomonas putida (Arthrobacter siderocapsulatus)	266
Q8UM83	Q8UM83	Q8UM83_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	349
Q9I4X0	Q9I4X0	MVFR_PSEAE	reviewed	Multiple virulence factor regulator MvfR (Transcriptional regulator MvfR)	mvfR PA1003	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	332
B5BUJ6	B5BUJ6	B5BUJ6_HUMAN	unreviewed	MAP kinase interacting serine/threonine kinase 1 (Fragment)	MKNK1	Homo sapiens (Human)	424
P33244	P33244	FTZF1_DROME	reviewed	Nuclear hormone receptor FTZ-F1 (FTZ-F1 alpha) (Nuclear receptor subfamily 5 group A member 3)	ftz-f1 NR5A3 CG4059	Drosophila melanogaster (Fruit fly)	1027
P42568	P42568	AF9_HUMAN	reviewed	Protein AF-9 (ALL1-fused gene from chromosome 9 protein) (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein) (YEATS domain-containing protein 3)	MLLT3 AF9 YEATS3	Homo sapiens (Human)	568
