yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1t13	Q2YKV1	RISB2_BRUA2	reviewed	6,7-dimethyl-8-ribityllumazine synthase 2 (DMRL synthase 2) (LS 2) (Lumazine synthase 2) (EC 2.5.1.78) (BLS) (Type II lumazine synthase)	ribH2 ribH-2 BAB2_0545	Brucella abortus (strain 2308)	158
2bfr,2bfq	O28751	Y1521_ARCFU	reviewed	ADP-ribose glycohydrolase AF_1521 ([Protein ADP-ribosylaspartate] hydrolase AF_1521) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase AF_1521) (EC 3.2.2.-)	AF_1521	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	192
1xt8	Q0P9S0	Q0P9S0_CAMJE	unreviewed	Putative amino-acid transporter periplasmic solute-binding protein	cjaA Cj0982c	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	279
1zub	Q811U3	RB6I2_RAT	reviewed	ELKS/Rab6-interacting/CAST family member 1 (ERC-1) (CAZ-associated structural protein 2) (CAST2) (Rab6-interacting protein 2)	Erc1 Cast2 Elks Rab6ip2	Rattus norvegicus (Rat)	948
1zub	Q9JIR4	RIMS1_RAT	reviewed	Regulating synaptic membrane exocytosis protein 1 (Rab-3-interacting molecule 1) (RIM 1)	Rims1 Rim1	Rattus norvegicus (Rat)	1615
2bmz	O22321	O22321_MUSAC	unreviewed	Ripening-associated protein		Musa acuminata (Banana) (Musa cavendishii)	141
1z2b	Q2HJ86	TBA1D_BOVIN	reviewed	Tubulin alpha-1D chain [Cleaved into: Detyrosinated tubulin alpha-1D chain]	TUBA1D	Bos taurus (Bovine)	452
1ugy,1ugw,1ugx,1uh1,1ws5,1ws4	P18670	LECA_ARTIN	reviewed	Agglutinin alpha chain (Jacalin alpha chain)		Artocarpus integer (Jack fruit) (Artocarpus integrifolia)	133
1ugy,1ugw,1ugx,1uh1,1ws5,1ws4	P18673	LECB3_ARTIN	reviewed	Agglutinin beta-3 chain (Jacalin beta-3 chain)		Artocarpus integer (Jack fruit) (Artocarpus integrifolia)	20
2asu	P26927	HGFL_HUMAN	reviewed	Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein) (MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain]	MST1 D3F15S2 DNF15S2 HGFL	Homo sapiens (Human)	711
1xk5	O95149	SPN1_HUMAN	reviewed	Snurportin-1 (RNA U transporter 1)	SNUPN RNUT1 SPN1	Homo sapiens (Human)	360
2a29	P03960	KDPB_ECOLI	reviewed	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB b0697 JW0685	Escherichia coli (strain K12)	682
1fo3,1fo2,1x9d	Q9UKM7	MA1B1_HUMAN	reviewed	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)	MAN1B1 UNQ747/PRO1477	Homo sapiens (Human)	699
1kyv,2a58	Q9UUB1	RIB4_SCHPO	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78) (Riboflavin synthase beta chain)	rib4 SPBC409.13	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	159
1lvc,1s26,1pk0,1xfv	P40136	CYAA_BACAN	reviewed	Calmodulin-sensitive adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase) (Anthrax edema toxin adenylate cyclase component) (Edema factor) (EF)	cya pXO1-122 BXA0141 GBAA_pXO1_0142	Bacillus anthracis	800
1ntk,1nu1,1sqb,1sqp,1sqq	P00125	CY1_BOVIN	reviewed	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)	CYC1	Bos taurus (Bovine)	325
1ntk,1nu1,1sqb,1sqp,1sqq	P00126	QCR6_BOVIN	reviewed	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)	UQCRH	Bos taurus (Bovine)	91
1ntk,1nu1,1sqb,1sqp,1sqq	P00129	QCR7_BOVIN	reviewed	Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)	UQCRB	Bos taurus (Bovine)	111
1ntk,1nu1,1sqb,1sqp,1sqq	P00130	QCR9_BOVIN	reviewed	Cytochrome b-c1 complex subunit 9 (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7 kDa protein) (Ubiquinol-cytochrome c reductase complex 7.2 kDa protein)	UQCR10	Bos taurus (Bovine)	64
1ntk,1nu1,1sqb,1sqp,1sqq	P00157	CYB_BOVIN	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB	Bos taurus (Bovine)	379
1ntk,1nu1,1sqb,1sqp,1sqq	P07552	QCR10_BOVIN	reviewed	Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein)	UQCR11 UQCR	Bos taurus (Bovine)	56
1ntk,1nu1,1sqb,1sqp,1sqq	P13271	QCR8_BOVIN	reviewed	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)	UQCRQ	Bos taurus (Bovine)	82
1ntk,1nu1,1sqb,1sqp,1sqq	P13272	UCRI_BOVIN	reviewed	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]	UQCRFS1	Bos taurus (Bovine)	274
1ntk,1nu1,1sqb,1sqp,1sqq	P23004	QCR2_BOVIN	reviewed	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	UQCRC2	Bos taurus (Bovine)	453
1ntk,1nu1,1sqb,1sqp,1sqq	P31800	QCR1_BOVIN	reviewed	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)	UQCRC1	Bos taurus (Bovine)	480
2a0t	P34217	PIN4_YEAST	reviewed	RNA-binding protein PIN4 (Psi inducibility protein 4)	PIN4 MDT1 YBL051C YBL0506 YBL0516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	668
1ywh	Q03405	UPAR_HUMAN	reviewed	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87)	PLAUR MO3 UPAR	Homo sapiens (Human)	335
1y19	O70161	PI51C_MOUSE	reviewed	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma)	Pip5k1c Kiaa0589	Mus musculus (Mouse)	661
1y19	P26039	TLN1_MOUSE	reviewed	Talin-1	Tln1 Tln	Mus musculus (Mouse)	2541
2bz8	Q13191	CBLB_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL-B (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene b) (RING finger protein 56) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B)	CBLB RNF56 Nbla00127	Homo sapiens (Human)	982
2bz8	Q96B97	SH3K1_HUMAN	reviewed	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)	SH3KBP1 CIN85	Homo sapiens (Human)	665
1y3p,1y3n	Q9KWT6	Q9KWT6_SPHSX	unreviewed	AlgQ1	algQ1	Sphingomonas sp.	526
2c2l	Q9WUD1	CHIP_MOUSE	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	Stub1 Chip	Mus musculus (Mouse)	304
1xr8	P12977	EBNA3_EBVB9	reviewed	Epstein-Barr nuclear antigen 3 (EBNA-3) (EBV nuclear antigen 3) (Epstein-Barr nuclear antigen 3A) (EBNA-3A) (EBV nuclear antigen 3A)	EBNA3 BLRF3-BERF1	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	944
1ov3,1w70	P14598	NCF1_HUMAN	reviewed	Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox)	NCF1 NOXO2 SH3PXD1A	Homo sapiens (Human)	390
1h6h,1w70	Q15080	NCF4_HUMAN	reviewed	Neutrophil cytosol factor 4 (NCF-4) (Neutrophil NADPH oxidase factor 4) (SH3 and PX domain-containing protein 4) (p40-phox) (p40phox)	NCF4 SH3PXD4	Homo sapiens (Human)	339
1dl7,1oay,1oau,1oar,2bjm	P01724	LV1B_MOUSE	reviewed	Ig lambda-1 chain V regions MOPC 104E/RPC20/J558/S104		Mus musculus (Mouse)	129
2a25	Q9HB71	CYBP_HUMAN	reviewed	Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein)	CACYBP S100A6BP SIP PNAS-107	Homo sapiens (Human)	228
1wdq,1wdr	P10538	AMYB_SOYBN	reviewed	Beta-amylase (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase)	BMY1	Glycine max (Soybean) (Glycine hispida)	496
1zhy	P35844	KES1_YEAST	reviewed	Oxysterol-binding protein homolog 4 (Bypass SECl4 recessive protein 3) (KRE11-1 suppressor protein 1) (Protein KES1) (Oxysterol-binding protein-related protein 4) (ORP 4) (OSBP-related protein 4)	KES1 BSR3 OSH4 YPL145C LPI3C P2614	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434
1xz8	P41007	PYRR_BACCL	reviewed	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR	Bacillus caldolyticus	179
1yid,2a4m	Q9RVD6	SYW2_DEIRA	reviewed	Tryptophan--tRNA ligase 2 (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase 2) (TrpRS 2) (Tryptophanyl-tRNA synthetase II) (TrpRS II)	trpS2 trpSII DR_1093	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	351
2br8	P50984	CA1A_CONPE	reviewed	Alpha-conotoxin PnIA (Alpha-PnIA)		Conus pennaceus (Feathered cone) (Conus episcopus)	16
1ywi	O75400	PR40A_HUMAN	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Homo sapiens (Human)	957
1yvh	Q9Z200	SH2B2_RAT	reviewed	SH2B adapter protein 2 (Adapter protein with pleckstrin homology and Src homology 2 domains) (SH2 and PH domain-containing adapter protein APS)	Sh2b2 Aps	Rattus norvegicus (Rat)	621
1y2a	O15162	PLS1_HUMAN	reviewed	Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (MmTRA1b)	PLSCR1	Homo sapiens (Human)	318
1mf4,1td7,1t37,1oxr,1zm6	P60045	PA2A3_NAJSG	reviewed	Acidic phospholipase A2 3 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Naja sagittifera (Andaman cobra)	126
1x8d	P32156	RHAM_ECOLI	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM yiiL b3901 JW3872	Escherichia coli (strain K12)	104
1z3t,1z3v	Q7LIJ0	Q7LIJ0_PHACH	unreviewed	Glucanase (EC 3.2.1.-)	cbh1-4 CBH CBHI.2	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	510
1f47,1y2f,1y2g	P77173	ZIPA_ECOLI	reviewed	Cell division protein ZipA (FtsZ interacting protein A)	zipA b2412 JW2404	Escherichia coli (strain K12)	328
1vj6	Q61315	APC_MOUSE	reviewed	Adenomatous polyposis coli protein (Protein APC) (mAPC)	Apc	Mus musculus (Mouse)	2845
1x8j	Q26490	Q26490_SPOFR	unreviewed	Retinol dehydratase		Spodoptera frugiperda (Fall armyworm)	351
1wuq,1wur	Q5SH52	Q5SH52_THET8	unreviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE TTHA1878	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	220
1ylv,1w31	P05373	HEM2_YEAST	reviewed	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	HEM2 YGL040C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	342
1ws1	Q819U0	DEF1_BACCR	reviewed	Peptide deformylase 1 (PDF 1) (EC 3.5.1.88) (Polypeptide deformylase 1)	def1 BC_3865	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	156
1wcq	Q02834	NANH_MICVI	reviewed	Sialidase (EC 3.2.1.18) (Neuraminidase)	nedA	Micromonospora viridifaciens	647
1g7v,1phw,1x6u	P0A715	KDSA_ECOLI	reviewed	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA b1215 JW1206	Escherichia coli (strain K12)	284
1zxv	Q52NH3	Q52NH3_BACAN	unreviewed	Lethal factor	lef	Bacillus anthracis	809
2br6	P0CJ63	AHLLA_BACTK	reviewed	N-acyl homoserine lactonase AiiA (AHL-lactonase AiiA) (EC 3.1.1.81)	aiiA	Bacillus thuringiensis subsp. kurstaki	250
2ad5	P0A7E5	PYRG_ECOLI	reviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG b2780 JW2751	Escherichia coli (strain K12)	545
1x7a	P16293	FA9_PIG	reviewed	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain] (Fragment)	F9	Sus scrofa (Pig)	409
1mx1,1ya4	P23141	EST1_HUMAN	reviewed	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cholesteryl ester hydrolase) (CEH) (EC 3.1.1.13) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	CES1 CES2 SES1	Homo sapiens (Human)	567
1wkm	P56218	MAP2_PYRFU	reviewed	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map PF0541	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	295
1gu1,1v1j	P15474	AROQ_STRCO	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ SCO1961 SCC54.21c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	157
2bvd	P16218	GUNH_ACET2	reviewed	Endoglucanase H (EC 3.2.1.4) (Cellulase H) (Endo-1,4-beta-glucanase H) (EgH)	celH Cthe_1472	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Hungateiclostridium thermocellum)	900
2a14	O95050	INMT_HUMAN	reviewed	Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT)	INMT	Homo sapiens (Human)	263
2bo4	Q9RFR0	MGS_RHOMR	reviewed	Mannosylglycerate synthase (MGS) (EC 2.4.1.269)	mgs	Rhodothermus marinus (Rhodothermus obamensis)	397
2bgr,2bgn	P12506	TAT_HV1Z2	reviewed	Protein Tat (Transactivating regulatory protein)	tat	Human immunodeficiency virus type 1 group M subtype D (isolate Z2/CDC-Z34) (HIV-1)	86
1wvc	Q8Z5I4	RFBF_SALTI	reviewed	Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33) (CDP-glucose pyrophosphorylase)	rfbF STY2302 t0780	Salmonella typhi	257
1kyn,1t32	P08311	CATG_HUMAN	reviewed	Cathepsin G (CG) (EC 3.4.21.20) [Cleaved into: Cathepsin G, C-terminal truncated form]	CTSG	Homo sapiens (Human)	255
1xnx	O35627	NR1I3_MOUSE	reviewed	Nuclear receptor subfamily 1 group I member 3 (Constitutive androstane receptor) (CAR) (Orphan nuclear receptor MB67)	Nr1i3 Car	Mus musculus (Mouse)	358
1yfz	Q8R7L0	Q8R7L0_CALS4	unreviewed	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	Hpt TTE2394	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	181
1y4z	P09152	NARG_ECOLI	reviewed	Respiratory nitrate reductase 1 alpha chain (EC 1.7.5.1) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)	narG bisD narC b1224 JW1215	Escherichia coli (strain K12)	1247
1y4z	P11349	NARH_ECOLI	reviewed	Respiratory nitrate reductase 1 beta chain (EC 1.7.5.1) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)	narH b1225 JW1216	Escherichia coli (strain K12)	512
1y4z	P11350	NARI_ECOLI	reviewed	Respiratory nitrate reductase 1 gamma chain (EC 1.7.5.1) (Cytochrome B-NR) (Nitrate reductase A subunit gamma) (Quinol-nitrate oxidoreductase subunit gamma)	narI chlI b1227 JW1218	Escherichia coli (strain K12)	225
1yxd	P0A6L2	DAPA_ECOLI	reviewed	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA b2478 JW2463	Escherichia coli (strain K12)	292
1jqe,1jqd,2aou,2aow,2aox,2aov	P50135	HNMT_HUMAN	reviewed	Histamine N-methyltransferase (HMT) (EC 2.1.1.8)	HNMT	Homo sapiens (Human)	292
1jk7,1it6,1u32,2bcd	P36873	PP1G_HUMAN	reviewed	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	PPP1CC	Homo sapiens (Human)	323
2ie4	P30153	2AAA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	Homo sapiens (Human)	589
2ie4	P67775	PP2AA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C)	PPP2CA	Homo sapiens (Human)	309
2h03,2h02	P23467	PTPRB_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP)	PTPRB PTPB	Homo sapiens (Human)	1997
2f3r	P60546	KGUA_ECOLI	reviewed	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk spoR b3648 JW3623	Escherichia coli (strain K12)	207
2i5j	Q8UM83	Q8UM83_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	349
1qkn,2j7x	Q62986	ESR2_RAT	reviewed	Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2)	Esr2 Erbeta Nr3a2	Rattus norvegicus (Rat)	530
2j7x	Q9HCD5	NCOA5_HUMAN	reviewed	Nuclear receptor coactivator 5 (NCoA-5) (Coactivator independent of AF-2) (CIA)	NCOA5 KIAA1637	Homo sapiens (Human)	579
2ew5,2ew6	Q672W7	Q672W7_HELPX	unreviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def HPPMSS1_c00889	Helicobacter pylori (Campylobacter pylori)	174
1f9g,2brp	Q54873	HYSA_STRPN	reviewed	Hyaluronate lyase (EC 4.2.2.1) (Hyaluronidase) (HYase)	SP_0314	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	1066
2f3k	O38708	O38708_9HIV1	unreviewed	Protease (Fragment)	pol	Human immunodeficiency virus 1	99
2j87	O57203	KITH_VACCA	reviewed	Thymidine kinase (EC 2.7.1.21)	TK MVA086R ACAM3000_MVA_086 J2R	Vaccinia virus (strain Ankara) (VACV)	177
1xo2,2f2c,2euf	Q01043	CGH2_SHV21	reviewed	Cyclin homolog (V-cyclin)	72 ECLF2	Saimiriine herpesvirus 2 (strain 11) (SaHV-2) (Herpesvirus saimiri)	254
2bve	Q62230	SN_MOUSE	reviewed	Sialoadhesin (Sheep erythrocyte receptor) (SER) (Sialic acid-binding Ig-like lectin 1) (Siglec-1) (CD antigen CD169)	Siglec1 Sa Sn	Mus musculus (Mouse)	1695
2fj0	Q9GPG0	Q9GPG0_MANSE	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	573
2byp,2c9t	P50983	CA1_CONIM	reviewed	Alpha-conotoxin ImI (Alpha-CTx ImI) (Fragment)		Conus imperialis (Imperial cone)	17
2gcd	Q9JLS3	TAOK2_RAT	reviewed	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Thousand and one amino acid protein 2)	Taok2 Tao2	Rattus norvegicus (Rat)	1235
2fdd	Q7SPG9	Q7SPG9_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	99
2boi,2bv4	Q7NX84	Q7NX84_CHRVO	unreviewed	PA-IIL domain-containing protein	CV_1744	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	114
2j83	Q8TL28	ULIL_METAC	reviewed	Ulilysin (EC 3.4.24.-)	MA_3214	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	342
2d1x	Q14247	SRC8_HUMAN	reviewed	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	CTTN EMS1	Homo sapiens (Human)	550
2auc	D0VWV5	D0VWV5_PLAKN	unreviewed	Myosin A Tail Interacting Protein		Plasmodium knowlesi	126
2auc	Q7RQ71	MYOA_PLAYO	reviewed	Myosin-A	MyoA PY01232	Plasmodium yoelii yoelii	817
1obx,1ybo	O00560	SDCB1_HUMAN	reviewed	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	SDCBP MDA9 SYCL	Homo sapiens (Human)	298
1ybo	P31431	SDC4_HUMAN	reviewed	Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein)	SDC4	Homo sapiens (Human)	198
2ews	Q6G7I0	COAW_STAAS	reviewed	Type II pantothenate kinase (EC 2.7.1.33) (PanK-II) (Pantothenic acid kinase)	coaW coaA SAS2033	Staphylococcus aureus (strain MSSA476)	267
2fgh	Q28372	GELS_HORSE	reviewed	Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Equus caballus (Horse)	731
2euk,2eum,2evl	Q9NZD2	GLTP_HUMAN	reviewed	Glycolipid transfer protein (GLTP)	GLTP	Homo sapiens (Human)	209
2izx	P13861	KAP2_HUMAN	reviewed	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)	404
2hdx	Q62120	JAK2_MOUSE	reviewed	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	Jak2	Mus musculus (Mouse)	1132
2hdx	Q91ZM2	SH2B1_MOUSE	reviewed	SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B) (SH2-B PH domain-containing signaling mediator 1)	Sh2b1 Sh2bpsm1	Mus musculus (Mouse)	756
1m0q,1m0o,1m0n,1zc9	P16932	DGDA_BURCE	reviewed	2,2-dialkylglycine decarboxylase (DGD) (EC 4.1.1.64)	dgdA	Burkholderia cepacia (Pseudomonas cepacia)	433
2ivz	P0A855	TOLB_ECOLI	reviewed	Tol-Pal system protein TolB	tolB b0740 JW5100	Escherichia coli (strain K12)	430
2df6	O55043	ARHG7_RAT	reviewed	Rho guanine nucleotide exchange factor 7 (Beta-Pix) (PAK-interacting exchange factor beta)	Arhgef7 Pak3bp Pixb	Rattus norvegicus (Rat)	646
2df6	Q64303	PAK2_RAT	reviewed	Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (p21-activated kinase 2) (PAK-2) [Cleaved into: PAK-2p27; PAK-2p34]	Pak2	Rattus norvegicus (Rat)	524
